FTSE Index,
Date,Closing Price
22/07/2009,4493.73
23/07/2009,4559.8
24/07/2009,4576.61
27/07/2009,4586.13
28/07/2009,4528.84
29/07/2009,4547.53
30/07/2009,4631.61
31/07/2009,4608.36
03/08/2009,4682.46
04/08/2009,4671.37
05/08/2009,4647.13
06/08/2009,4690.53
07/08/2009,4731.56
10/08/2009,4722.2
11/08/2009,4671.34
12/08/2009,4716.76
13/08/2009,4755.46
14/08/2009,4713.97
17/08/2009,4645.01
18/08/2009,4685.78
19/08/2009,4689.67
20/08/2009,4756.58
21/08/2009,4850.89
24/08/2009,4896.23
25/08/2009,4916.8
26/08/2009,4890.58
27/08/2009,4869.35
28/08/2009,4908.9
01/09/2009,4819.7
02/09/2009,4817.55
03/09/2009,4796.75
04/09/2009,4851.7
07/09/2009,4933.18
08/09/2009,4947.34
09/09/2009,5004.3
10/09/2009,4987.68
11/09/2009,5011.47
14/09/2009,5018.85
15/09/2009,5042.13
16/09/2009,5124.13
17/09/2009,5163.95
18/09/2009,5172.89
21/09/2009,5134.36
22/09/2009,5142.6
23/09/2009,5139.37
24/09/2009,5079.27
25/09/2009,5082.2
28/09/2009,5165.7
29/09/2009,5159.72
30/09/2009,5133.9
01/10/2009,5047.81
02/10/2009,4988.7
05/10/2009,5024.33
06/10/2009,5137.98
07/10/2009,5108.9
08/10/2009,5154.64
09/10/2009,5161.87
12/10/2009,5210.17
13/10/2009,5154.15
14/10/2009,5256.1
15/10/2009,5222.95
16/10/2009,5190.24
19/10/2009,5281.54
20/10/2009,5243.4
21/10/2009,5257.85
22/10/2009,5207.36
23/10/2009,5242.57
26/10/2009,5191.74
27/10/2009,5200.97
28/10/2009,5080.42
29/10/2009,5137.72
30/10/2009,5044.55
02/11/2009,5104.5
03/11/2009,5037.21
04/11/2009,5107.89
05/11/2009,5125.64
06/11/2009,5142.72
09/11/2009,5235.18
10/11/2009,5230.55
11/11/2009,5266.75
12/11/2009,5276.5
13/11/2009,5296.38
16/11/2009,5382.67
17/11/2009,5345.93
18/11/2009,5342.13
19/11/2009,5267.7
20/11/2009,5251.41
23/11/2009,5355.5
24/11/2009,5323.96
25/11/2009,5364.81
26/11/2009,5194.13
27/11/2009,5245.73
30/11/2009,5190.68
01/12/2009,5312.17
02/12/2009,5327.39
03/12/2009,5313
04/12/2009,5322.36
07/12/2009,5310.66
08/12/2009,5223.13
09/12/2009,5203.89
10/12/2009,5244.37
11/12/2009,5261.57
14/12/2009,5315.34
15/12/2009,5285.77
16/12/2009,5320.26
17/12/2009,5217.61
18/12/2009,5196.81
21/12/2009,5293.99
22/12/2009,5328.66
23/12/2009,5372.38
24/12/2009,5402.41
29/12/2009,5437.61
30/12/2009,5397.86
31/12/2009,5412.88
04/01/2010,5500.34
05/01/2010,5522.5
06/01/2010,5530.04
07/01/2010,5526.72
08/01/2010,5534.24
11/01/2010,5538.07
12/01/2010,5498.71
13/01/2010,5473.48
14/01/2010,5498.2
15/01/2010,5455.37
18/01/2010,5494.39
19/01/2010,5513.14
20/01/2010,5420.8
21/01/2010,5335.1
22/01/2010,5302.99
25/01/2010,5260.31
26/01/2010,5276.85
27/01/2010,5217.47
28/01/2010,5145.74
29/01/2010,5188.52
01/02/2010,5247.41
02/02/2010,5283.31
03/02/2010,5253.15
04/02/2010,5139.31
05/02/2010,5060.92
08/02/2010,5092.33
09/02/2010,5111.84
10/02/2010,5131.99
11/02/2010,5161.48
12/02/2010,5142.45
15/02/2010,5167.47
16/02/2010,5244.06
17/02/2010,5276.64
18/02/2010,5325.09
19/02/2010,5358.17
22/02/2010,5352.07
23/02/2010,5315.09
24/02/2010,5342.92
25/02/2010,5278.22
26/02/2010,5354.52
01/03/2010,5405.94
02/03/2010,5484.06
03/03/2010,5533.21
04/03/2010,5527.16
05/03/2010,5599.76
08/03/2010,5606.72
09/03/2010,5602.3
10/03/2010,5640.57
11/03/2010,5617.26
12/03/2010,5625.65
15/03/2010,5593.85
16/03/2010,5620.43
17/03/2010,5644.63
18/03/2010,5642.62
19/03/2010,5650.12
22/03/2010,5644.54
23/03/2010,5673.63
24/03/2010,5677.88
25/03/2010,5727.65
26/03/2010,5703.02
29/03/2010,5710.66
30/03/2010,5672.32
31/03/2010,5679.64
01/04/2010,5744.89
06/04/2010,5780.35
07/04/2010,5762.06
08/04/2010,5712.7
09/04/2010,5770.98
12/04/2010,5777.65
13/04/2010,5761.66
14/04/2010,5796.25
15/04/2010,5825.01
16/04/2010,5743.96
19/04/2010,5727.91
20/04/2010,5783.69
21/04/2010,5723.43
22/04/2010,5665.33
23/04/2010,5723.65
26/04/2010,5753.85
27/04/2010,5603.52
28/04/2010,5586.61
29/04/2010,5617.84
30/04/2010,5553.29
04/05/2010,5411.11
05/05/2010,5341.93
06/05/2010,5260.99
07/05/2010,5123.02
10/05/2010,5387.42
11/05/2010,5334.21
12/05/2010,5383.45
13/05/2010,5433.73
14/05/2010,5262.85
17/05/2010,5262.54
18/05/2010,5307.34
19/05/2010,5158.08
20/05/2010,5073.13
21/05/2010,5062.93
24/05/2010,5069.61
25/05/2010,4940.68
26/05/2010,5038.08
27/05/2010,5195.17
28/05/2010,5188.43
01/06/2010,5163.3
02/06/2010,5151.32
03/06/2010,5211.18
04/06/2010,5126
07/06/2010,5069.06
08/06/2010,5028.15
09/06/2010,5085.86
10/06/2010,5132.5
11/06/2010,5163.68
14/06/2010,5202.13
15/06/2010,5217.82
16/06/2010,5237.92
17/06/2010,5253.89
18/06/2010,5250.84
21/06/2010,5299.11
22/06/2010,5246.98
23/06/2010,5178.52
24/06/2010,5100.23
25/06/2010,5046.47
28/06/2010,5071.68
29/06/2010,4914.22
30/06/2010,4916.87
01/07/2010,4805.75
02/07/2010,4838.09
05/07/2010,4823.53
06/07/2010,4965
07/07/2010,5014.82
08/07/2010,5105.45
09/07/2010,5132.94
12/07/2010,5167.02
13/07/2010,5271.02
14/07/2010,5253.52
15/07/2010,5211.29
16/07/2010,5158.85
19/07/2010,5148.28
20/07/2010,5139.46
21/07/2010,5214.64
22/07/2010,5313.81
23/07/2010,5312.62
26/07/2010,5351.12
27/07/2010,5365.67
28/07/2010,5319.68
29/07/2010,5313.95
30/07/2010,5258.02
02/08/2010,5397.11
03/08/2010,5396.48
04/08/2010,5386.16
05/08/2010,5365.78
06/08/2010,5332.39
09/08/2010,5410.52
10/08/2010,5376.41
11/08/2010,5245.21
12/08/2010,5266.06
13/08/2010,5275.44
16/08/2010,5276.1
17/08/2010,5350.55
18/08/2010,5302.87
19/08/2010,5211.29
20/08/2010,5195.28
23/08/2010,5234.84
24/08/2010,5155.95
25/08/2010,5109.4
26/08/2010,5155.84
27/08/2010,5201.56
31/08/2010,5225.22
01/09/2010,5366.41
02/09/2010,5371.04
03/09/2010,5428.15
06/09/2010,5439.19
07/09/2010,5407.82
08/09/2010,5429.74
09/09/2010,5494.16
10/09/2010,5501.64
13/09/2010,5565.53
14/09/2010,5567.41
15/09/2010,5555.56
16/09/2010,5540.14
17/09/2010,5508.45
20/09/2010,5602.54
21/09/2010,5576.19
22/09/2010,5551.91
23/09/2010,5547.08
24/09/2010,5598.48
27/09/2010,5573.42
28/09/2010,5578.44
29/09/2010,5569.27
30/09/2010,5548.62
01/10/2010,5592.9
04/10/2010,5555.97
05/10/2010,5635.76
06/10/2010,5681.39
07/10/2010,5662.13
08/10/2010,5657.61
11/10/2010,5672.4
12/10/2010,5661.59
13/10/2010,5747.35
14/10/2010,5727.21
15/10/2010,5703.37
18/10/2010,5742.52
19/10/2010,5703.89
20/10/2010,5728.93
21/10/2010,5757.86
22/10/2010,5741.37
25/10/2010,5751.98
26/10/2010,5707.3
27/10/2010,5646.02
28/10/2010,5677.89
29/10/2010,5675.16
01/11/2010,5694.62
02/11/2010,5757.43
03/11/2010,5748.97
04/11/2010,5862.79
05/11/2010,5875.35
08/11/2010,5849.96
09/11/2010,5875.19
10/11/2010,5816.94
11/11/2010,5815.23
12/11/2010,5796.87
15/11/2010,5820.41
16/11/2010,5681.9
17/11/2010,5692.56
18/11/2010,5768.71
19/11/2010,5732.83
22/11/2010,5680.83
23/11/2010,5581.28
24/11/2010,5657.1
25/11/2010,5698.93
26/11/2010,5668.7
29/11/2010,5550.95
30/11/2010,5528.27
01/12/2010,5642.5
02/12/2010,5767.56
03/12/2010,5745.32
06/12/2010,5770.28
07/12/2010,5808.45
08/12/2010,5794.53
09/12/2010,5807.96
10/12/2010,5812.95
13/12/2010,5860.75
14/12/2010,5891.21
15/12/2010,5882.18
16/12/2010,5881.12
17/12/2010,5871.75
20/12/2010,5891.61
21/12/2010,5951.8
22/12/2010,5983.49
23/12/2010,5996.07
24/12/2010,6008.92
29/12/2010,5996.36
30/12/2010,5971.01
31/12/2010,5899.94
04/01/2011,6013.87
05/01/2011,6043.86
06/01/2011,6019.51
07/01/2011,5984.33
10/01/2011,5956.3
11/01/2011,6014.03
12/01/2011,6050.72
13/01/2011,6023.88
14/01/2011,6002.07
17/01/2011,5985.7
18/01/2011,6056.43
19/01/2011,5976.7
20/01/2011,5867.91
21/01/2011,5896.25
24/01/2011,5943.85
25/01/2011,5917.71
26/01/2011,5969.21
27/01/2011,5965.08
28/01/2011,5881.37
31/01/2011,5862.94
01/02/2011,5957.82
02/02/2011,6000.07
03/02/2011,5983.34
04/02/2011,5997.38
07/02/2011,6051.03
08/02/2011,6091.33
09/02/2011,6052.29
10/02/2011,6020.01
11/02/2011,6062.9
14/02/2011,6060.09
15/02/2011,6037.08
16/02/2011,6085.27
17/02/2011,6087.38
18/02/2011,6082.99
21/02/2011,6014.8
22/02/2011,5996.76
23/02/2011,5923.53
24/02/2011,5919.98
25/02/2011,6001.2
28/02/2011,5994.01
01/03/2011,5935.76
02/03/2011,5914.89
03/03/2011,6005.09
04/03/2011,5990.39
07/03/2011,5973.78
08/03/2011,5974.76
09/03/2011,5937.3
10/03/2011,5845.29
11/03/2011,5828.67
14/03/2011,5775.24
15/03/2011,5695.28
16/03/2011,5598.23
17/03/2011,5696.11
18/03/2011,5718.13
21/03/2011,5786.09
22/03/2011,5762.71
23/03/2011,5795.88
24/03/2011,5880.87
25/03/2011,5900.76
28/03/2011,5904.49
29/03/2011,5932.17
30/03/2011,5948.3
31/03/2011,5908.76
01/04/2011,6009.92
04/04/2011,6016.98
05/04/2011,6007.06
06/04/2011,6041.13
07/04/2011,6007.37
08/04/2011,6055.75
11/04/2011,6053.44
12/04/2011,5964.47
13/04/2011,6010.44
14/04/2011,5963.8
15/04/2011,5996.01
18/04/2011,5870.08
19/04/2011,5896.87
20/04/2011,6022.26
21/04/2011,6018.3
26/04/2011,6069.36
27/04/2011,6068.16
28/04/2011,6069.9
03/05/2011,6082.88
04/05/2011,5984.07
05/05/2011,5919.98
06/05/2011,5976.77
09/05/2011,5942.69
10/05/2011,6018.89
11/05/2011,5976
12/05/2011,5944.96
13/05/2011,5925.87
16/05/2011,5923.69
17/05/2011,5861
18/05/2011,5923.49
19/05/2011,5955.99
20/05/2011,5948.49
23/05/2011,5835.89
24/05/2011,5858.41
25/05/2011,5870.14
26/05/2011,5880.99
27/05/2011,5938.87
31/05/2011,5989.99
01/06/2011,5928.61
02/06/2011,5847.92
03/06/2011,5855.01
06/06/2011,5863.16
07/06/2011,5864.65
08/06/2011,5808.89
09/06/2011,5856.34
10/06/2011,5765.8
13/06/2011,5773.46
14/06/2011,5803.13
15/06/2011,5742.55
16/06/2011,5698.81
17/06/2011,5714.94
20/06/2011,5693.39
21/06/2011,5775.31
22/06/2011,5772.99
23/06/2011,5674.38
24/06/2011,5697.72
27/06/2011,5722.34
28/06/2011,5766.88
29/06/2011,5855.95
30/06/2011,5945.71
01/07/2011,5989.76
04/07/2011,6017.54
05/07/2011,6024.03
06/07/2011,6002.92
07/07/2011,6054.55
08/07/2011,5990.58
11/07/2011,5929.16
