Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2009-01-02,43.85,47.33,41.6,46.91,79290.0,109349.0
2009-01-05,48.2,50.05,46.31,49.62,102438.0,101208.0
2009-01-06,48.8,52.21,48.6,50.53,115303.0,92580.0
2009-01-07,50.53,51.4,45.67,45.86,124667.0,87238.0
2009-01-08,46.02,47.36,43.75,44.67,115324.0,77086.0
2009-01-09,45.23,45.67,42.79,44.42,84478.0,74225.0
2009-01-12,44.57,44.7,42.12,42.91,71380.0,62498.0
2009-01-13,43.1,45.59,41.84,44.83,70339.0,45454.0
2009-01-14,45.08,46.0,43.74,45.08,51587.0,32234.0
2009-01-15,44.97,47.2,43.8,44.69,11826.0,16798.0
2009-01-16,48.0,49.12,45.94,46.57,125482.0,157507.0
2009-01-19,46.3,46.5,43.8,44.5,64465.0,153486.0
2009-01-20,44.6,45.64,42.96,43.62,135781.0,154048.0
2009-01-21,43.89,45.76,42.85,45.02,93858.0,148708.0
2009-01-22,45.12,46.64,43.4,45.39,134284.0,149651.0
2009-01-23,44.66,48.61,43.9,48.37,101437.0,148353.0
2009-01-26,47.46,49.65,46.67,46.96,103659.0,138883.0
2009-01-27,46.94,48.4,43.55,43.73,129868.0,141088.0
2009-01-28,44.2,46.19,43.76,44.9,110328.0,123842.0
2009-01-29,44.51,46.06,44.0,45.4,114224.0,118745.0
2009-01-30,45.5,47.75,45.1,45.88,101559.0,116757.0
2009-02-02,46.06,46.56,43.77,43.82,85388.0,114600.0
2009-02-03,44.51,44.92,43.84,44.08,76783.0,116169.0
2009-02-04,44.23,45.1,43.7,44.15,96451.0,109845.0
2009-02-05,44.22,46.6,44.05,46.46,86481.0,105885.0
2009-02-06,47.0,47.48,44.21,46.21,100558.0,97328.0
2009-02-09,46.06,48.42,45.53,46.02,97323.0,87562.0
2009-02-10,46.02,48.22,44.38,44.61,110797.0,75917.0
2009-02-11,45.11,45.68,43.93,44.28,81131.0,55722.0
2009-02-12,44.65,45.14,43.92,44.65,12010.0,34678.0
2009-02-13,45.97,46.5,44.32,44.81,101559.0,174580.0
2009-02-16,44.3,45.5,43.15,43.28,37231.0,167748.0
2009-02-17,43.66,44.0,40.23,41.03,91699.0,168071.0
2009-02-18,40.41,41.77,39.35,39.55,100571.0,162280.0
2009-02-19,39.91,42.19,39.64,41.99,107656.0,172588.0
2009-02-20,41.41,42.1,39.78,41.89,100395.0,155063.0
2009-02-23,41.66,43.45,40.3,40.99,104386.0,153855.0
2009-02-24,40.63,42.6,40.43,42.5,106742.0,148939.0
2009-02-25,42.35,44.5,41.85,44.29,120113.0,142696.0
2009-02-26,44.4,46.63,44.15,46.51,108820.0,147099.0
2009-02-27,46.29,46.48,44.52,46.35,104005.0,139827.0
2009-03-02,45.56,45.65,41.9,42.21,112103.0,138023.0
2009-03-03,42.16,44.1,41.6,43.7,98056.0,133945.0
2009-03-04,43.3,46.54,43.1,46.12,109564.0,129392.0
2009-03-05,46.28,46.42,42.85,43.64,109480.0,123443.0
2009-03-06,44.28,45.24,43.06,44.85,96688.0,116936.0
2009-03-09,45.42,45.74,43.07,44.13,122701.0,103211.0
2009-03-10,44.4,45.77,43.61,43.96,90931.0,96554.0
2009-03-11,43.81,44.44,41.3,41.4,84332.0,81021.0
2009-03-12,41.83,45.48,41.48,45.09,71999.0,75698.0
2009-03-13,44.8,46.36,44.13,44.93,77082.0,65292.0
2009-03-16,44.25,44.57,42.59,43.98,12903.0,27792.0
2009-03-17,45.9,48.65,45.22,48.24,102311.0,169707.0
2009-03-18,47.4,48.94,46.05,47.66,110707.0,160865.0
2009-03-19,48.21,51.64,48.16,50.67,110579.0,153566.0
2009-03-20,50.38,51.7,49.74,51.22,78278.0,150512.0
2009-03-23,51.3,53.86,51.1,53.47,98783.0,151912.0
2009-03-24,53.23,53.61,52.42,53.5,84455.0,148366.0
2009-03-25,53.04,53.48,51.17,51.75,106330.0,148366.0
2009-03-26,52.39,53.8,52.3,53.46,84576.0,138901.0
2009-03-27,53.31,53.44,51.17,51.98,80491.0,140842.0
2009-03-30,51.5,51.6,47.66,47.99,115015.0,137710.0
2009-03-31,48.5,49.81,47.47,49.23,104889.0,123666.0
2009-04-01,48.37,48.7,47.26,48.44,112152.0,121543.0
2009-04-02,48.59,53.06,48.59,52.75,121287.0,116057.0
2009-04-03,52.34,54.26,51.48,53.47,86960.0,108818.0
2009-04-06,53.5,54.31,51.15,52.24,103703.0,103761.0
2009-04-07,52.44,53.18,50.65,51.22,93079.0,90179.0
2009-04-08,50.56,53.59,49.8,51.59,119379.0,80480.0
2009-04-09,52.05,54.27,51.85,54.06,73380.0,53395.0
2009-04-13,53.98,54.12,50.9,52.14,28603.0,53395.0
2009-04-14,52.25,53.56,51.21,51.96,61539.0,43040.0
2009-04-15,51.86,52.87,51.35,51.79,11780.0,27443.0
2009-04-16,53.25,53.91,52.53,53.06,93375.0,149870.0
2009-04-17,53.05,53.97,52.63,53.35,75938.0,159629.0
