Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2009-01-02,444.0,466.25,424.0,427.75,18311.0,57163.0
2009-01-05,469.25,496.0,461.0,478.75,39640.0,54612.0
2009-01-06,495.0,527.0,487.5,514.5,46871.0,47823.0
2009-01-07,513.0,523.75,486.0,500.5,37897.0,41296.0
2009-01-08,488.0,505.75,472.5,478.25,29138.0,31173.0
2009-01-09,486.5,486.5,451.5,454.75,32291.0,21130.0
2009-01-12,462.0,465.0,448.5,454.75,6012.0,7504.0
2009-01-13,461.25,484.0,452.0,477.0,56429.0,87606.0
2009-01-14,479.25,484.75,452.25,457.5,57123.0,86693.0
2009-01-15,463.5,482.5,448.0,457.75,47364.0,86560.0
2009-01-16,469.5,477.75,452.75,463.5,36553.0,81353.0
2009-01-19,459.5,459.5,434.75,437.5,28130.0,78296.0
2009-01-20,442.0,451.0,428.0,447.0,40150.0,74859.0
2009-01-21,437.5,437.5,424.0,429.25,25322.0,74507.0
2009-01-22,432.0,442.25,412.75,420.75,35429.0,73383.0
2009-01-23,425.0,456.75,414.75,416.75,30133.0,72830.0
2009-01-26,448.0,464.25,441.0,456.0,28644.0,66361.0
2009-01-27,416.75,461.0,416.75,429.5,22385.0,64623.0
2009-01-28,428.25,453.5,428.25,438.25,43592.0,61076.0
2009-01-29,442.5,453.5,434.25,443.0,33842.0,56870.0
2009-01-30,445.5,463.75,441.5,449.5,28030.0,55986.0
2009-02-02,448.75,451.25,422.75,429.0,24311.0,50682.0
2009-02-03,427.5,428.0,416.25,422.75,23048.0,49594.0
2009-02-04,417.0,426.5,405.0,422.5,25557.0,44104.0
2009-02-05,417.0,431.25,414.75,418.5,17396.0,39736.0
2009-02-06,428.0,432.5,410.5,414.25,19920.0,37593.0
2009-02-09,423.75,445.0,417.0,436.0,18095.0,33428.0
2009-02-10,427.0,440.75,410.0,427.5,22686.0,26936.0
2009-02-11,414.25,419.5,407.5,411.5,27725.0,19518.0
2009-02-12,413.5,414.25,405.0,411.5,7563.0,8192.0
2009-02-13,418.0,420.25,405.0,410.75,34163.0,83001.0
2009-02-16,414.0,414.0,395.75,398.25,19863.0,80667.0
2009-02-17,397.75,401.0,372.25,379.0,29932.0,78834.0
2009-02-18,374.0,382.75,361.25,365.25,37307.0,77250.0
2009-02-19,365.25,381.75,361.5,370.75,32733.0,74792.0
2009-02-20,375.0,379.5,360.5,364.0,28113.0,74650.0
2009-02-23,378.75,386.75,364.25,375.5,35095.0,72066.0
2009-02-24,367.0,380.25,363.0,372.75,25113.0,69048.0
2009-02-25,375.75,392.0,370.5,376.75,40167.0,67741.0
2009-02-26,387.25,406.0,385.75,400.25,34630.0,64241.0
2009-02-27,401.75,403.25,385.0,386.5,21446.0,58534.0
2009-03-02,393.0,393.0,358.75,366.0,30936.0,53689.0
2009-03-03,362.25,375.5,357.5,361.25,37136.0,54510.0
2009-03-04,364.0,385.5,363.75,382.25,40051.0,48207.0
2009-03-05,376.5,376.75,355.0,366.0,29159.0,40360.0
2009-03-06,366.0,380.5,360.5,364.75,25042.0,36099.0
2009-03-09,381.0,390.75,370.5,382.25,21738.0,31858.0
2009-03-10,379.5,394.5,372.75,384.25,27747.0,27991.0
2009-03-11,378.0,380.0,353.25,363.5,27793.0,19754.0
2009-03-12,355.5,363.5,351.5,363.5,7361.0,11102.0
2009-03-13,385.5,397.75,379.5,390.0,36096.0,63830.0
2009-03-16,380.0,389.5,364.75,381.25,41177.0,60051.0
2009-03-17,384.5,409.0,377.0,399.75,45658.0,60820.0
2009-03-18,404.25,415.0,394.0,402.0,34548.0,56814.0
2009-03-19,414.0,441.5,408.0,427.75,41036.0,57157.0
2009-03-20,430.25,441.0,426.0,435.75,25111.0,57311.0
2009-03-23,441.0,470.75,440.75,467.5,39467.0,58655.0
2009-03-24,466.0,476.75,460.25,468.25,34224.0,56430.0
2009-03-25,470.5,474.5,458.5,465.75,42517.0,56430.0
2009-03-26,465.5,474.75,462.0,463.25,35343.0,53505.0
2009-03-27,466.5,468.25,452.75,455.25,41047.0,51933.0
2009-03-30,452.0,452.0,423.5,439.25,31507.0,54401.0
2009-03-31,430.75,439.25,417.5,420.0,26282.0,48605.0
