Code,Source,Exchange,Symbol,Depth,Rule,Name,Method,Data Start Date
SCF/CME_TY1_EB,SCF,CME,TY,1,EB,CBOT 10-year US Treasury Note,"Roll on Last Trading Day, Backwards Panama Canal Method",21/06/1982
SCF/CME_TY1_EF,SCF,CME,TY,1,EF,CBOT 10-year US Treasury Note,"Roll on Last Trading Day, Forwards Panama Canal Method",21/06/1982
SCF/CME_TY1_EN,SCF,CME,TY,1,EN,CBOT 10-year US Treasury Note,"Roll on Last Trading Day, No Price Adjustment",21/06/1982
SCF/CME_TY1_ER,SCF,CME,TY,1,ER,CBOT 10-year US Treasury Note,"Roll on Last Trading Day, Backwards Ratio Method",21/06/1982
SCF/CME_TY1_EW,SCF,CME,TY,1,EW,CBOT 10-year US Treasury Note,"Roll on Last Trading Day, Calendar-Weighted Method",21/06/1982
SCF/CME_TY1_FB,SCF,CME,TY,1,FB,CBOT 10-year US Treasury Note,"Roll on First Day of Month, Backwards Panama Canal Method",21/06/1982
SCF/CME_TY1_FF,SCF,CME,TY,1,FF,CBOT 10-year US Treasury Note,"Roll on First Day of Month, Forwards Panama Canal Method",21/06/1982
SCF/CME_TY1_FN,SCF,CME,TY,1,FN,CBOT 10-year US Treasury Note,"Roll on First Day of Month, No Price Adjustment",21/06/1982
SCF/CME_TY1_FR,SCF,CME,TY,1,FR,CBOT 10-year US Treasury Note,"Roll on First Day of Month, Backwards Ratio Method",21/06/1982
SCF/CME_TY1_FW,SCF,CME,TY,1,FW,CBOT 10-year US Treasury Note,"Roll on First Day of Month, Calendar-Weighted Method",21/06/1982
SCF/CME_TY1_OB,SCF,CME,TY,1,OB,CBOT 10-year US Treasury Note,"Roll on Open Interest Switch, Backwards Panama Canal Method",21/06/1982
SCF/CME_TY1_OF,SCF,CME,TY,1,OF,CBOT 10-year US Treasury Note,"Roll on Open Interest Switch, Forwards Panama Canal Method",21/06/1982
SCF/CME_TY1_ON,SCF,CME,TY,1,ON,CBOT 10-year US Treasury Note,"Roll on Open Interest Switch, No Price Adjustment",21/06/1982
SCF/CME_TY1_OR,SCF,CME,TY,1,OR,CBOT 10-year US Treasury Note,"Roll on Open Interest Switch, Backwards Ratio Method",21/06/1982
SCF/CME_FV1_EB,SCF,CME,FV,1,EB,CBOT 5-year US Treasury Note,"Roll on Last Trading Day, Backwards Panama Canal Method",21/06/1988
SCF/CME_FV1_EF,SCF,CME,FV,1,EF,CBOT 5-year US Treasury Note,"Roll on Last Trading Day, Forwards Panama Canal Method",21/06/1988
SCF/CME_FV1_EN,SCF,CME,FV,1,EN,CBOT 5-year US Treasury Note,"Roll on Last Trading Day, No Price Adjustment",21/06/1988
SCF/CME_FV1_ER,SCF,CME,FV,1,ER,CBOT 5-year US Treasury Note,"Roll on Last Trading Day, Backwards Ratio Method",21/06/1988
SCF/CME_FV1_EW,SCF,CME,FV,1,EW,CBOT 5-year US Treasury Note,"Roll on Last Trading Day, Calendar-Weighted Method",21/06/1988
SCF/CME_FV1_FB,SCF,CME,FV,1,FB,CBOT 5-year US Treasury Note,"Roll on First Day of Month, Backwards Panama Canal Method",21/06/1988
SCF/CME_FV1_FF,SCF,CME,FV,1,FF,CBOT 5-year US Treasury Note,"Roll on First Day of Month, Forwards Panama Canal Method",21/06/1988
SCF/CME_FV1_FN,SCF,CME,FV,1,FN,CBOT 5-year US Treasury Note,"Roll on First Day of Month, No Price Adjustment",21/06/1988
SCF/CME_FV1_FR,SCF,CME,FV,1,FR,CBOT 5-year US Treasury Note,"Roll on First Day of Month, Backwards Ratio Method",21/06/1988
SCF/CME_FV1_FW,SCF,CME,FV,1,FW,CBOT 5-year US Treasury Note,"Roll on First Day of Month, Calendar-Weighted Method",21/06/1988
SCF/CME_FV1_OB,SCF,CME,FV,1,OB,CBOT 5-year US Treasury Note,"Roll on Open Interest Switch, Backwards Panama Canal Method",21/06/1988
SCF/CME_FV1_OF,SCF,CME,FV,1,OF,CBOT 5-year US Treasury Note,"Roll on Open Interest Switch, Forwards Panama Canal Method",21/06/1988
SCF/CME_FV1_ON,SCF,CME,FV,1,ON,CBOT 5-year US Treasury Note,"Roll on Open Interest Switch, No Price Adjustment",21/06/1988
SCF/CME_FV1_OR,SCF,CME,FV,1,OR,CBOT 5-year US Treasury Note,"Roll on Open Interest Switch, Backwards Ratio Method",21/06/1988
SCF/CME_TU1_EB,SCF,CME,TU,1,EB,CBOT 2-year US Treasury Note,"Roll on Last Trading Day, Backwards Panama Canal Method",19/09/1990
SCF/CME_TU1_EF,SCF,CME,TU,1,EF,CBOT 2-year US Treasury Note,"Roll on Last Trading Day, Forwards Panama Canal Method",19/09/1990
SCF/CME_TU1_EN,SCF,CME,TU,1,EN,CBOT 2-year US Treasury Note,"Roll on Last Trading Day, No Price Adjustment",19/09/1990
SCF/CME_TU1_ER,SCF,CME,TU,1,ER,CBOT 2-year US Treasury Note,"Roll on Last Trading Day, Backwards Ratio Method",19/09/1990
SCF/CME_TU1_EW,SCF,CME,TU,1,EW,CBOT 2-year US Treasury Note,"Roll on Last Trading Day, Calendar-Weighted Method",19/09/1990
SCF/CME_TU1_FB,SCF,CME,TU,1,FB,CBOT 2-year US Treasury Note,"Roll on First Day of Month, Backwards Panama Canal Method",19/09/1990
SCF/CME_TU1_FF,SCF,CME,TU,1,FF,CBOT 2-year US Treasury Note,"Roll on First Day of Month, Forwards Panama Canal Method",19/09/1990
SCF/CME_TU1_FN,SCF,CME,TU,1,FN,CBOT 2-year US Treasury Note,"Roll on First Day of Month, No Price Adjustment",19/09/1990
SCF/CME_TU1_FR,SCF,CME,TU,1,FR,CBOT 2-year US Treasury Note,"Roll on First Day of Month, Backwards Ratio Method",19/09/1990
SCF/CME_TU1_FW,SCF,CME,TU,1,FW,CBOT 2-year US Treasury Note,"Roll on First Day of Month, Calendar-Weighted Method",19/09/1990
SCF/CME_TU1_OB,SCF,CME,TU,1,OB,CBOT 2-year US Treasury Note,"Roll on Open Interest Switch, Backwards Panama Canal Method",19/09/1990
SCF/CME_TU1_OF,SCF,CME,TU,1,OF,CBOT 2-year US Treasury Note,"Roll on Open Interest Switch, Forwards Panama Canal Method",19/09/1990
SCF/CME_TU1_ON,SCF,CME,TU,1,ON,CBOT 2-year US Treasury Note,"Roll on Open Interest Switch, No Price Adjustment",19/09/1990
SCF/CME_TU1_OR,SCF,CME,TU,1,OR,CBOT 2-year US Treasury Note,"Roll on Open Interest Switch, Backwards Ratio Method",19/09/1990
SCF/CME_FF1_EB,SCF,CME,FF,1,EB,CBOT 30-day Federal Funds,"Roll on Last Trading Day, Backwards Panama Canal Method",01/12/1988
SCF/CME_FF1_EF,SCF,CME,FF,1,EF,CBOT 30-day Federal Funds,"Roll on Last Trading Day, Forwards Panama Canal Method",01/12/1988
SCF/CME_FF1_EN,SCF,CME,FF,1,EN,CBOT 30-day Federal Funds,"Roll on Last Trading Day, No Price Adjustment",01/12/1988
SCF/CME_FF1_ER,SCF,CME,FF,1,ER,CBOT 30-day Federal Funds,"Roll on Last Trading Day, Backwards Ratio Method",01/12/1988
